# Camera PV, EVR PV prefix, Description, Lens PV
#   EVR PV with blank value ("") means the same EVR as previous camera
LIF, CXI:KB1:CVV:01, CXI:R51:EVR:21, CXI:KB1:CVV:01
LIF, CXI:KB1:CVV:02, CXI:R51:EVR:21, CXI:KB1:CVV:02
LIF, CXI:KB1:CVV:03, CXI:R51:EVR:21, CXI:KB1:CVV:03
LIF, CXI:DS2:CVV:01, CXI:R24:EVR:18, CXI:DS2:CVV:01
LIF, CXI:DS2:CVV:02, CXI:R24:EVR:18, CXI:DS2:CVV:02
LIF, CXI:DS2:CVV:03, CXI:R24:EVR:18, CXI:DS2:CVV:03
LIF, CXI:PI2:CVV:01, CXI:R54:EVR:30, CXI:PI2:CVV:01
LIF, CXI:DS2:CVV:01, CXI:R54:EVR:30, CXI:DS2:CVV:01
LIF, CXI:DS3:CVV:03, CXI:R54:EVR:30, CXI:DS3:CVV:03
###CXI:R57:EVR:21, CAMS = CXI:SC1:CVV:01,CXI:SC1:CVV:02,CXI:DSU:CVV:01
###CXI:R56:EVR:22, CAMS = CXI:SC1:CVV:03,CXI:SC1:CVV:04,CXI:DSU:CVV:02
